Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-02-03,4.2615494,4.29128114,4.18226476,4.27145998,629931286,2691952493.38,1.7334
2026-02-04,4.2615494,4.38047636,4.25163882,4.35074462,745441878,3262242003.04,2.0512
2026-02-05,4.33092346,4.37056578,4.30119172,4.37056578,605328152,2650425563.78,1.6657
2026-02-06,4.34083404,4.38047636,4.30119172,4.33092346,493793405,2163713431.13,1.3588
2026-02-09,4.37056578,4.38047636,4.29128114,4.3111023,536154455,2337830515.62,1.4753
2026-02-10,4.30119172,4.3111023,4.23181766,4.28137056,447684500,1927873395.0,1.2319
2026-02-11,4.27145998,4.30119172,4.24172824,4.25163882,371974600,1601277107.8,1.0235
2026-02-12,4.25163882,4.2615494,4.18226476,4.19217534,517699004,2198451661.16,1.4245
2026-02-13,4.17235418,4.19217534,4.13271186,4.14262244,537441690,2253914034.7,1.4789
2026-02-24,4.18226476,4.2615494,4.17235418,4.24172824,540087786,2307072936.99,1.4861
2026-02-25,4.25163882,4.35074462,4.24172824,4.32101288,601170062,2607984134.8,1.6542
2026-02-26,4.34083404,4.34083404,4.28137056,4.29128114,460039197,1998416917.06,1.2659
2026-02-27,4.29128114,4.44985042,4.28137056,4.43993984,1099266920,4868981871.74,3.0248
2026-03-02,4.40029752,4.54895622,4.39038694,4.44985042,1024728773,4626565706.25,2.8197
2026-03-03,4.46967158,4.48949274,4.27145998,4.28137056,932425178,4093258571.02,2.5657
2026-03-04,4.25163882,4.34083404,4.22190708,4.28137056,679471420,2942662126.79,1.8697
2026-03-05,4.34083404,4.48949274,4.34083404,4.42011868,1040317051,4660702099.17,2.8626
2026-03-06,4.38047636,4.39038694,4.27145998,4.33092346,937985504,4085736970.65,2.581
2026-03-09,4.27145998,4.29128114,4.18226476,4.27145998,842799774,3593024477.2,2.3191
2026-03-10,4.3111023,4.35074462,4.29128114,4.3111023,572124310,2494726351.33,1.5743
2026-03-11,4.30119172,4.3606552,4.29128114,4.35074462,581726739,2542860608.51,1.6007
2026-03-12,4.3606552,4.43002926,4.34083404,4.38047636,753526371,3332652943.11,2.0735
2026-03-13,4.3606552,4.4102081,4.3111023,4.32101288,528982769,2328660717.81,1.4556
2026-03-16,4.30119172,4.30119172,4.1624436,4.19217534,906115301,3842349740.03,2.4933
2026-03-17,4.2119965,4.23181766,4.14262244,4.14262244,514356608,2171472098.79,1.4153
2026-03-18,4.19217534,4.19217534,4.1128907,4.1624436,505072077,2111466286.1,1.3898
2026-03-19,4.1128907,4.12280128,4.04351664,4.05342722,520347525,2139925058.08,1.4318
2026-03-20,4.07324838,4.1128907,4.03360606,4.04351664,484291217,1993635249.68,1.3326
2026-03-23,3.97414258,3.98405316,3.8155733,3.83539446,913918696,3584773806.7,2.5148
2026-03-24,3.88494736,3.964232,3.8651262,3.964232,584020378,2302680815.04,1.607
2026-03-25,3.99396374,4.00387432,3.94441084,3.95432142,439300714,1760085995.25,1.2088
2026-03-26,3.95432142,3.97414258,3.89485794,3.90476852,394296309,1562818115.25,1.085
2026-03-27,3.87503678,3.93450026,3.8651262,3.9146791,356630461,1408695311.22,0.9813
2026-03-30,3.87503678,3.9146791,3.85521562,3.90476852,356712342,1399472626.62,0.9816
2026-03-31,3.89485794,3.93450026,3.8651262,3.87503678,389281816,1532613174.33,1.0712
2026-04-01,3.97414258,4.02369548,3.93450026,3.97414258,583140390,2340737070.46,1.6046
2026-04-02,3.97414258,3.97414258,3.89485794,3.9146791,390394485,1548237927.62,1.0742
2026-04-03,3.92458968,3.93450026,3.88494736,3.89485794,277051391,1090994954.12,0.7624
2026-04-07,3.9146791,3.9146791,3.85521562,3.87503678,346529602,1357383440.42,0.9535
2026-04-08,3.94441084,4.00387432,3.9146791,3.99396374,579090452,2313171005.1,1.5935
2026-04-09,3.95432142,3.99396374,3.93450026,3.97414258,418250587,1674086170.55,1.1509
2026-04-10,4.0137849,4.04351664,3.99396374,4.00387432,462269781,1874658592.63,1.272
2026-04-13,3.97414258,4.00387432,3.95432142,3.99396374,404643636,1627020594.46,1.1134
