Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-02-09,15.93413775,16.30447245,15.8074443,16.01210295,52002962,860189121.32,1.4966
2026-02-10,16.03159425,16.8599745,15.6710052,16.7040441,58006339,976222345.17,1.6694
2026-02-11,16.69429845,16.8599745,16.4311659,16.59684195,34853121,593430360.69,1.003
2026-02-12,17.0353962,18.25360245,16.762518,18.25360245,87687085,1615505165.75,2.5235
2026-02-13,17.94174165,17.98072425,16.4701485,16.51887675,104227261,1801994851.63,2.9995
2026-02-24,18.17563725,18.17563725,17.8345395,18.17563725,86532560,1607830303.49,2.4903
2026-02-25,18.97478055,19.9980738,18.8480871,19.63748475,150881386,3063061927.01,4.3422
2026-02-26,19.7057043,20.4073911,19.3548609,19.9201086,111852709,2290629208.02,3.219
2026-02-27,19.9785825,20.7387432,19.48155435,20.0565477,94315108,1929007044.05,2.7143
2026-03-02,22.0641516,22.0641516,20.2904433,22.0641516,218533817,4788336441.17,6.2891
2026-03-03,23.82811425,24.2666685,22.9022775,24.2666685,133193468,3256713338.81,3.8332
2026-03-04,24.35437935,24.35437935,21.84000165,23.18490135,252802204,5880382459.26,7.2754
2026-03-05,22.48321455,25.3776726,21.84000165,24.3446337,221033448,5381331235.23,6.3611
2026-03-06,23.86709685,25.5141117,23.39930565,24.5980206,192767550,4814137405.15,5.5476
2026-03-09,25.4556378,25.97215725,22.1421168,22.1421168,208014025,5003102180.85,5.9864
2026-03-10,21.050604,24.35437935,21.050604,22.6683819,197066406,4694713441.85,5.6713
2026-03-11,22.58067105,22.609908,21.39170175,22.1810994,139385702,3142135870.6,4.0114
2026-03-12,21.9861864,22.30779285,21.1285692,21.89847555,118941222,2643662594.18,3.423
2026-03-13,21.9861864,22.3565211,21.2650083,21.54763215,85828696,1920295295.33,2.47
2026-03-16,21.4209387,23.4675252,21.245517,23.16541005,128074152,2935400089.67,3.6858
2026-03-17,23.36032305,23.86709685,22.5124515,22.6293993,104197452,2470397090.89,2.9987
2026-03-18,22.52219715,24.8903901,22.09338855,24.2471772,141391590,3482161766.35,4.0691
2026-03-19,24.33488805,24.6370032,22.6293993,23.12642745,122147247,2907036625.37,3.5153
2026-03-20,23.2726122,24.0327729,22.2980472,22.8632949,95483297,2266722030.49,2.7479
2026-03-23,22.89253185,24.0132816,22.7268558,22.9217688,105716033,2521883415.57,3.0424
2026-03-24,23.2921035,25.21199655,22.7268558,25.21199655,145817964,3657522986.17,4.1965
2026-03-25,26.0208855,26.47893105,24.0522642,24.68573145,144301253,3744678712.2,4.1528
2026-03-26,24.68573145,24.68573145,23.0582079,23.2921035,114811616,2782224088.8,3.3041
2026-03-27,22.89253185,23.67218385,22.1226255,23.08744485,93787881,2209666707.69,2.6991
2026-03-30,22.63914495,23.1361731,21.635343,22.025169,108389023,2470419420.63,3.1193
2026-03-31,22.3370298,22.50270585,21.1090779,21.44043,95743341,2121221250.72,2.7554
2026-04-01,21.8107647,23.53574475,21.635343,23.04846225,114321924,2707940393.29,3.2901
2026-04-02,22.5514341,25.1632683,22.5514341,23.65269255,120764082,2984177498.54,3.4754
2026-04-03,24.8514075,25.33869,24.15946635,24.21794025,92666591,2342815898.51,2.6668
2026-04-07,25.1047944,25.77724425,24.3836163,25.28996175,87794017,2271370908.06,2.5266
2026-04-08,24.8514075,26.313255,23.71116645,25.40690955,131724810,3444526129.0,3.7909
2026-04-09,25.85520945,26.12808765,24.3251424,24.9098814,75604041,1945485446.44,2.1758
2026-04-10,25.0073379,25.1047944,23.194647,23.49676215,102702864,2512978948.78,2.9557
2026-04-13,23.45777955,23.4675252,22.1226255,22.34677545,83695492,1936084001.13,2.4087
2026-04-14,22.28830155,22.60016235,21.7327995,22.17135375,86360639,1952914633.96,2.4854
2026-04-15,21.9277125,22.4344863,21.78152775,21.8497473,66786774,1508905609.62,1.922
2026-04-16,21.87898425,22.07389725,21.33322785,21.43068435,64366202,1423500355.24,1.8524
2026-04-17,21.3234822,21.4599213,20.660778,21.39170175,86552346,1873834384.88,2.4909
2026-04-20,21.56712345,21.95694945,21.1090779,21.7133082,59103114,1310998734.74,1.7009
2026-04-21,21.635343,22.2005907,21.4989039,21.82051035,61263744,1372173051.88,1.7631
2026-04-22,21.635343,21.85949295,20.6023041,21.3429735,96218026,2085157953.2,2.5175
2026-04-23,21.00187575,21.1285692,20.61204975,20.90441925,61825567,1323616862.35,1.6176
2026-04-24,20.80696275,21.02136705,20.53408455,20.7192519,46727023,994991659.75,1.2226
2026-04-27,21.02136705,21.2844996,20.51459325,20.9531475,50097749,1075235432.71,1.3108
2026-04-28,21.1090779,21.1480605,20.076039,20.51459325,72797210,1529598083.61,1.9047
2026-04-29,20.7582345,21.245517,20.660778,21.1870431,67707579,1459354190.23,1.7715
2026-04-30,20.78747145,21.19678875,20.3684085,21.04085835,54784392,1174109897.77,1.4334
2026-05-06,21.44043,21.9082212,20.47561065,21.7522908,105078972,2297955663.92,2.7493
2026-05-07,21.635343,23.0192253,21.54763215,22.11287985,100910566,2298940017.15,2.6403
2026-05-08,21.68407125,23.0582079,21.68407125,22.8243123,102748603,2384266780.7,2.6883
2026-05-11,22.414995,22.414995,21.1870431,21.8107647,88874630,1975337581.57,2.3253
2026-05-12,21.6548343,22.3175385,21.48915825,21.58661475,47365287,1057395715.5,1.2393
2026-05-13,21.48915825,22.2395733,21.48915825,21.87898425,53167769,1196012520.36,1.3911
2026-05-14,21.5378865,22.8632949,21.25526265,22.22982765,89715267,2048732811.84,2.3473
2026-05-15,22.025169,22.414995,21.0700953,21.31373655,61732477,1367621537.36,1.6152
2026-05-18,20.86543665,21.1480605,20.2904433,20.9336562,52419554,1115454908.31,1.3715
2026-05-19,21.245517,21.6548343,20.9141649,21.13831485,44240758,963549783.31,1.1575
2026-05-20,20.94340185,22.220082,20.94340185,22.0641516,57562449,1278908933.55,1.5061
2026-05-21,22.05440595,23.24337525,21.89847555,22.0446603,81155842,1885418621.22,2.1234
2026-05-22,22.609908,22.609908,21.6938169,22.220082,59960796,1359833776.33,1.5688
2026-05-25,22.5124515,23.37981435,21.27475395,21.3234822,97816342,2209800825.11,2.5593
2026-05-26,21.02136705,21.44043,20.0955303,20.69001495,76796554,1633133392.54,2.0093
2026-05-27,20.6217954,20.8361997,19.4913,19.7836695,70051895,1429374804.95,1.8329
2026-05-28,19.5887565,19.77392385,19.2379131,19.34511525,50346523,1003727949.73,1.3173
2026-05-29,19.1404566,19.44257175,18.76037625,18.9845262,67040563,1308574423.13,1.7541
2026-06-01,19.1599479,19.1794392,18.2048742,18.321822,64503992,1229260549.84,1.6877
2026-06-02,18.4972437,18.516735,17.68835475,18.07818075,67851191,1249336112.99,1.7753
2026-06-03,17.9709786,18.0294525,17.29852875,17.4836961,68144125,1223307485.1,1.7829
2026-06-04,17.4447135,17.737083,17.14259835,17.2498005,60997476,1087929819.64,1.5936
2026-06-05,17.53242435,17.54217,16.85022885,17.14259835,59064973,1040106182.31,1.5431
2026-06-08,17.06463315,17.29852875,16.2947268,16.32396375,61249952,1046906019.27,1.6002
2026-06-09,16.4896398,16.57735065,16.01210295,16.38243765,51929995,865037188.06,1.3567
2026-06-10,16.38243765,16.96717665,15.95362905,16.1582877,54414254,911385388.67,1.4216
